,filename,suffix,nb_chars,nb_tokens,ratio_alnum,ratio_al,ratio_num,nb_occ_article
44,dd178693341cf7a81e2b400fdd3c20df_summary_fr,txt,228,49,0.8289473684210527,0.8289473684210527,0.0,0
45,2bd0eeb51bd21d80636c3e1567644dc2,pdf,3428,1020,0.8211785297549592,0.8010501750291715,0.020128354725787632,1
46,2f40b8188debf60ce7267b26dd005d11_summary_fr,txt,342,75,0.8304093567251462,0.8304093567251462,0.0,0
47,69548b6abab1b44ebc1d4ffd305d357b,pdf,23225,5750,0.8189451022604951,0.8023681377825619,0.016576964477933262,30
48,3bbe7877e0bdafebf848b6a0ba0aacab,pdf,1516,566,0.804089709762533,0.7242744063324539,0.07981530343007916,4
49,058b3d57777afcde21a68d08080df6ee,pdf,8810,2511,0.8069239500567537,0.7801362088535755,0.026787741203178207,7
50,1bd85e44a13d20fd38282f1f1c4832c8,pdf,15755,4781,0.8043160901301174,0.7682640431609014,0.03605204696921612,24
51,7e02607fb3c4550a3c29eeaa830e5b05,pdf,22754,7504,0.8049134218159445,0.7322668541794849,0.07264656763645952,37
52,579ccda4aee7f538030695571e3fa80b,pdf,6855,1996,0.8086068563092633,0.7887673231218089,0.019839533187454413,10
53,f54bbb4bf5f9f0d25ad6799bb0660503_summary_fr,txt,443,104,0.8216704288939052,0.8216704288939052,0.0,0
54,9349058d88d825fbf845b12b0a0002c4,pdf,5142,1654,0.7572928821470245,0.750097238428627,0.007195643718397511,3
55,17d494d541f3f7a7d3b16b5cb0663752,pdf,1643,521,0.8009738283627511,0.7857577601947656,0.015216068167985392,0
56,87ea87487a2663553433497c7b0a4f17,pdf,6962,1918,0.790864694053433,0.7683137029589199,0.02255099109451307,4
57,cbbbf106fda2d74cb5d2d49e78e195f4,pdf,36625,10181,0.8145255972696246,0.7909351535836178,0.023590443686006827,100
58,150dfc12f35b5b33405d08417c03fca3,pdf,42437,11529,0.8127812993378419,0.8013054645710112,0.011475834766830832,0
59,89e530e78ab71ad88cbd7c5bd74d4bb5_summary_en,txt,779,168,0.8177150192554558,0.8023106546854942,0.01540436456996149,0
60,8c0bb47c6baa135bc5fedf4ad94116e7,pdf,6275,1885,0.8035059760956176,0.770199203187251,0.03330677290836653,20
61,ba7726a7ecd1f6de52eec6f830a0eab1,pdf,16452,5025,0.812606370046195,0.7814247507901775,0.031181619256017507,54
62,5ab1925c2d1f2d42af13fd16f5218769_summary_en,txt,177,32,0.8418079096045198,0.8418079096045198,0.0,0
63,92c37e9fb736c0418a671c50e1fb4ada,pdf,5926,2046,0.7593655079311509,0.7531218359770503,0.006243671954100574,0
64,efb965e61138ce13f3b7ed6cb93b71fe_summary_en,txt,609,106,0.8407224958949097,0.8407224958949097,0.0,0
65,0b77afbc3ac9cd1c92a8258c918f85da_summary_en,txt,866,152,0.8267898383371824,0.8267898383371824,0.0,0
66,dc1ee3cfe8a82a9adbd4db0481b6f4cb_summary_en,txt,379,65,0.841688654353562,0.841688654353562,0.0,0
67,c178843304a64bbcc85c2ad9ff7fcda3,pdf,1696,437,0.8201650943396226,0.8095518867924528,0.01061320754716981,0
68,642f2e1f8204bdbae674f5c6f647b1c2,pdf,7833,2985,0.798544618919954,0.7630537469679561,0.03549087195199796,5
69,58cd439e402fe7a2a1ede899008cc7e0,pdf,10616,3260,0.8048229088168802,0.7669555388093444,0.037867370007535796,10
70,6eb77cd9f02e61c68fa3f88e901c42a2_summary_en,txt,141,27,0.851063829787234,0.851063829787234,0.0,0
71,870502493255c73d096f219a8164844f_summary_en,txt,612,124,0.8235294117647058,0.8186274509803921,0.004901960784313725,0
72,c1feac5448601b891e68757083811224,pdf,7812,2274,0.8060675883256528,0.7857142857142857,0.020353302611367127,10
73,e9024da5c714b7668f13aeb6b27873f9_summary_fr,txt,151,39,0.8145695364238411,0.8145695364238411,0.0,0
74,22d0ee93c127df7a7543aa782f3bbd2a_summary_en,txt,480,86,0.8458333333333333,0.8458333333333333,0.0,0
