,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,Context Relevance (Contextrelevance-Langfuse),mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,Answer Correctness - RAGAS,chrf_score,Groundedness (Faithfulness-RAGAS),Answer Relevance (Relevance-Langfuse)
mean,0.5384615384615384,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.0,0.6417582417582418,0.1423076923076923,0.5174858870245465,0.4629267172398054,0.5153846153846154,0.25391012350033315,0.7884615384615384,0.8461538461538461
standard_deviation,0.5188745216627708,0.48038446141526137,0.48038446141526137,0.48038446141526137,0.4385290096535146,0.37553380809940534,0.37553380809940534,0.37553380809940534,0.0,0.4287881015164637,0.09540735874430285,0.17735509907550193,0.32692612810351707,0.4930283187372943,0.102168670504672,0.4062808173715596,0.2989297147474208
ci_lower_bound,0.22490880313376077,0.4020142676025728,0.4020142676025728,0.4020142676025728,0.5042303408867336,0.6192210371188447,0.6192210371188447,0.6192210371188447,,0.38264418528916583,0.08465360243484754,0.41031127328316286,0.2653672352508245,0.21745058416886404,0.19217021382258867,0.5429484976789116,0.6655124274358084
ci_upper_bound,0.8520142737893162,0.9826011170128117,0.9826011170128117,0.9826011170128117,1.034231197574805,1.0730866551888476,1.0730866551888476,1.0730866551888476,,0.9008722982273178,0.19996178218053706,0.62466050076593,0.6604861992287863,0.8133186466003668,0.3156500331780776,1.0339745792441652,1.0267952648718839
