,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,Context Relevance (Contextrelevance-Langfuse),mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,Answer Correctness - RAGAS,chrf_score,Groundedness (Faithfulness-RAGAS),Answer Relevance (Relevance-Langfuse)
mean,0.38461538461538464,0.46153846153846156,0.46153846153846156,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5692307692307692,0.4508547008547008,0.12307692307692307,0.5708625704924937,0.3562849228223397,0.5648852062698217,0.26013361953399755,0.8537362637362638,0.9692307692307693
standard_deviation,0.5063696835418333,0.5188745216627708,0.5188745216627708,0.5188745216627708,0.5188745216627708,0.5063696835418333,0.5063696835418333,0.5063696835418333,0.476767964850505,0.472787494752856,0.11108439849836514,0.1762555523545563,0.3388077178015379,0.4721748402130452,0.09748380494776633,0.287815806119511,0.0630425171956115
ci_lower_bound,0.07861924733579428,0.1479857262106839,0.1479857262106839,0.22490880313376077,0.22490880313376077,0.30938847810502507,0.30938847810502507,0.30938847810502507,0.2811227715274401,0.16515207715780517,0.055949292894224165,0.4643524061846038,0.15154546803778177,0.2795528060060465,0.20122474577858607,0.6798109127860109,0.9311345573657366
ci_upper_bound,0.690611521894975,0.7750911968662393,0.7750911968662393,0.8520142737893162,0.8520142737893162,0.9213807526642057,0.9213807526642057,0.9213807526642057,0.8573387669340984,0.7365573245515964,0.190204553259622,0.6773727348003835,0.5610243776068976,0.850217606533597,0.31904249328940903,1.0276616146865167,1.007326981095802
