,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
mean,0.46153846153846156,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.5461538461538461,0.10384615384615384,0.5862388746284739,0.42555878116690854,0.26065859933385016
standard_deviation,0.5188745216627708,0.5063696835418333,0.5063696835418333,0.5063696835418333,0.5063696835418333,0.48038446141526137,0.48038446141526137,0.48038446141526137,0.4683577418586932,0.09674179220468453,0.19040250683530252,0.31121552651666184,0.102655127943894
ci_lower_bound,0.1479857262106839,0.30938847810502507,0.30938847810502507,0.30938847810502507,0.30938847810502507,0.4020142676025728,0.4020142676025728,0.4020142676025728,0.26312809534008963,0.04538567390375094,0.47117979128755727,0.23749312070035924,0.19862472636764084
ci_upper_bound,0.7750911968662393,0.9213807526642057,0.9213807526642057,0.9213807526642057,0.9213807526642057,0.9826011170128117,0.9826011170128117,0.9826011170128117,0.8291795969676026,0.16230663378855675,0.7012979579693905,0.6136244416334579,0.3226924723000595
