,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,Context Relevance (Contextrelevance-Langfuse),mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,Answer Correctness - RAGAS,chrf_score,Groundedness (Faithfulness-RAGAS),Answer Relevance (Relevance-Langfuse)
mean,0.5384615384615384,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.0,0.628937728937729,0.13846153846153847,0.6072130609346466,0.40951712999607665,0.7084615384615384,0.27436184016174986,0.7923076923076924,0.8769230769230768
standard_deviation,0.5188745216627708,0.5063696835418333,0.48038446141526137,0.48038446141526137,0.4385290096535146,0.3755338080994054,0.3755338080994054,0.3755338080994054,0.0,0.435813855994247,0.09607689228305227,0.1768819466164308,0.32061876938149997,0.4209284609417249,0.10441789838182602,0.3796084352363157,0.26189643676412167
ci_lower_bound,0.22490880313376077,0.30938847810502507,0.4020142676025728,0.4020142676025728,0.5042303408867336,0.6192210371188447,0.6192210371188447,0.6192210371188447,,0.36557805152894907,0.08040285352051457,0.5003243703626901,0.2157691467363923,0.4540970152572778,0.21126273568099768,0.5629126107368863,0.7186606441159415
ci_upper_bound,0.8520142737893162,0.9213807526642057,0.9826011170128117,0.9826011170128117,1.034231197574805,1.0730866551888476,1.0730866551888476,1.0730866551888476,,0.892297406346509,0.19652022340256237,0.714101751506603,0.6032651132557609,0.9628260616657989,0.33746094464250204,1.0217027738784985,1.035185509730212
