,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
mean,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.04230769230769231,0.015384615384615385,0.5375891254997394,0.46744020239649353,0.2556074543378734
standard_deviation,0.0,0.2773500981126146,0.2773500981126146,0.2773500981126146,0.2773500981126146,0.2773500981126146,0.2773500981126146,0.37553380809940534,0.13821202589704015,0.04274252071325551,0.1865791119303158,0.3180844925471495,0.1226268345260499
ci_lower_bound,,-0.0906779099744022,-0.0906779099744022,-0.0906779099744022,-0.0906779099744022,-0.0906779099744022,-0.0906779099744022,-0.07308665518884758,-0.04121299904623042,-0.010444431378940616,0.4248404965763091,0.2752236673006966,0.18150479987140627
ci_upper_bound,,0.24452406382055605,0.24452406382055605,0.24452406382055605,0.24452406382055605,0.24452406382055605,0.24452406382055605,0.3807789628811553,0.12582838366161503,0.04121366214817139,0.6503377544231695,0.6596567374922905,0.32971010880434054
