,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
mean,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.026426205373573798,0.01153846153846154,0.5437861055162899,0.49202051126705276,0.2678066310871347
standard_deviation,0.0,0.0,0.0,0.0,0.2773500981126146,0.2773500981126146,0.37553380809940534,0.4385290096535146,0.059129849777564775,0.021926450482675733,0.18469889951034874,0.3405858223226007,0.11138649076069118
ci_lower_bound,,,,,-0.0906779099744022,-0.0906779099744022,-0.07308665518884758,-0.03423119757480492,-0.009305605234243695,-0.0017115598787402486,0.43217367758686626,0.2862065586742554,0.20049644837734287
ci_upper_bound,,,,,0.24452406382055605,0.24452406382055605,0.3807789628811553,0.4957696591132665,0.06215801598139129,0.02478848295566333,0.6553985334457135,0.6978344638598502,0.33511681379692654
