,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
mean,0.23076923076923078,0.46153846153846156,0.46153846153846156,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.08076923076923077,0.5603366107881194,0.46380707647822333,0.2740855496402529
standard_deviation,0.4385290096535146,0.5188745216627708,0.5188745216627708,0.5063696835418333,0.5063696835418333,0.5063696835418333,0.5063696835418333,0.5063696835418333,0.4033116120449006,0.08301220175989577,0.1765960707916148,0.33608114143600293,0.10811707978251654
ci_lower_bound,-0.03423119757480492,0.1479857262106839,0.1479857262106839,0.30938847810502507,0.30938847810502507,0.30938847810502507,0.30938847810502507,0.30938847810502507,0.14089661665413342,0.030605459297111046,0.4536206732481443,0.2607152753012349,0.20875105221142687
ci_upper_bound,0.4957696591132665,0.7750911968662393,0.7750911968662393,0.9213807526642057,0.9213807526642057,0.9213807526642057,0.9213807526642057,0.9213807526642057,0.6283341525766358,0.13093300224135052,0.6670525483280945,0.6668988776552118,0.3394200470690789
