,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
mean,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.1047008547008547,0.01153846153846154,0.5113821332310652,0.3660456703592452,0.22392910998328042
standard_deviation,0.2773500981126146,0.2773500981126146,0.2773500981126146,0.37553380809940534,0.37553380809940534,0.4385290096535146,0.4385290096535146,0.4385290096535146,0.2787376577740233,0.021926450482675733,0.1394308486710802,0.23565832463115435,0.05189469127586099
ci_lower_bound,-0.0906779099744022,-0.0906779099744022,-0.0906779099744022,-0.07308665518884758,-0.07308665518884758,-0.03423119757480492,-0.03423119757480492,-0.03423119757480492,-0.06373862610816007,-0.0017115598787402486,0.42712491464613606,0.22363877002798627,0.19256946190036267
ci_upper_bound,0.24452406382055605,0.24452406382055605,0.24452406382055605,0.3807789628811553,0.3807789628811553,0.4957696591132665,0.4957696591132665,0.4957696591132665,0.2731403355098695,0.02478848295566333,0.5956393518159944,0.5084525706905041,0.25528875806619816
