,doc_id,suffix,nb_chars,nb_tokens,ratio_alnum,ratio_al,ratio_num,nb_occ_article
127,de2d69fff1d0a781982b4e14dd582321_summary_fr.txt,.txt,242,53,0.859504132231405,0.859504132231405,0.0,0
128,9fad6115c3efe2492fdbfc07a917355c_summary_fr.txt,.txt,326,67,0.8374233128834356,0.8374233128834356,0.0,0
129,837ffe5759b8898b2cbbdd1e577773b8.pdf,.pdf,13764,4159,0.741862830572508,0.7173786689915722,0.024484161580935776,10
130,5e43615048734eb7baaba434ce9972fe.pdf,.pdf,247590,63364,0.8024920231027102,0.7951169271779959,0.007375095924714245,0
131,6c86a1969050caeb5680eac8d45f8d69.pdf,.pdf,18598,4975,0.7731476502849769,0.7505645768362189,0.022583073448757932,18
132,5635f5aa326e80faf3975cd12b55fbb0.pdf,.pdf,22762,6572,0.7783586679553642,0.750197697917582,0.028160970037782267,27
133,c4a2e68af3243bee3d6592672215ff74_summary_en.txt,.txt,613,130,0.8205546492659054,0.8075040783034257,0.013050570962479609,0
134,f327a4c3d837a2d94e7dbec4e4c12a31.pdf,.pdf,32821,8821,0.7781907924804241,0.7465342311325066,0.03165656134791749,30
135,18cff7a2174a6227d4828c495634b038_summary_en.txt,.txt,326,54,0.8466257668711656,0.8466257668711656,0.0,0
136,150dfc12f35b5b33405d08417c03fca3.pdf,.pdf,47847,11529,0.7208811419733735,0.7107028653834097,0.010178276589963843,0
137,2bd0eeb51bd21d80636c3e1567644dc2.pdf,.pdf,3622,1020,0.7771949199337382,0.7581446714522363,0.019050248481501934,1
138,f21af16047e3bc4298d8c2ccc050f0fb_summary_fr.txt,.txt,440,115,0.8022727272727272,0.7931818181818182,0.00909090909090909,0
139,70e09440195ce54e5e83f1620055a766.pdf,.pdf,9817,2876,0.7304675562799225,0.7107059183049812,0.019761637974941428,0
140,45249795a9e832d10139d65826c42908.pdf,.pdf,6892,1796,0.7868543238537434,0.7588508415554266,0.028003482298316888,14
141,dae7dcc87bdb119358655ec9d34be2bb.pdf,.pdf,1719,451,0.7521815008726004,0.7376381617219313,0.014543339150668994,0
142,802208e6dc3f634e83f1c7dff031aabe.pdf,.pdf,27388,7724,0.7830801811012122,0.759821819775084,0.02325836132612823,22
