,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
mean,0.15384615384615385,0.46153846153846156,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.35641025641025637,0.08846153846153845,0.5472617416668013,0.40093343450310537,0.24224316378588912
standard_deviation,0.3755338080994054,0.5188745216627708,0.5188745216627708,0.5063696835418333,0.5063696835418333,0.5063696835418333,0.5063696835418333,0.48038446141526137,0.3564575231524309,0.0820412654142367,0.17991931461457183,0.30405224271210624,0.1044169310654628
ci_lower_bound,-0.0730866551888476,0.1479857262106839,0.22490880313376077,0.30938847810502507,0.30938847810502507,0.30938847810502507,0.30938847810502507,0.4020142676025728,0.1410051309968135,0.03888449795095246,0.4385375879833353,0.21719650311666178,0.179144643848565
ci_upper_bound,0.3807789628811553,0.7750911968662393,0.8520142737893162,0.9213807526642057,0.9213807526642057,0.9213807526642057,0.9213807526642057,0.9826011170128117,0.5718153818236993,0.13803857897212446,0.6559858953502673,0.5846703658895489,0.30534168372321324
