,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,Context Relevance (Contextrelevance-Langfuse),mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,Answer Correctness - RAGAS,chrf_score,Groundedness (Faithfulness-RAGAS),Answer Relevance (Relevance-Langfuse)
mean,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.7846153846153846,0.5373626373626373,0.13076923076923078,0.6133275167521299,0.3050539677718493,0.5509188430372459,0.25635122833032853,0.8164835164835165,0.9538461538461539
standard_deviation,0.5063696835418333,0.5063696835418333,0.5063696835418333,0.5063696835418333,0.48038446141526137,0.37553380809940534,0.37553380809940534,0.37553380809940534,0.39758888701386397,0.4160282917159732,0.10515556241917166,0.2005888504326854,0.2663087879579316,0.4487277668853206,0.0944249332668893,0.2947744399763979,0.139136531360295
ci_lower_bound,0.07861924733579428,0.30938847810502507,0.30938847810502507,0.30938847810502507,0.4020142676025728,0.6192210371188447,0.6192210371188447,0.6192210371188447,0.5443548247797898,0.2859592567856535,0.06722436037204577,0.49211288758153426,0.14412517782385398,0.27975536737932594,0.19929081223185136,0.638353105178827,0.8697667894321239
ci_upper_bound,0.690611521894975,0.9213807526642057,0.9213807526642057,0.9213807526642057,0.9826011170128117,1.0730866551888476,1.0730866551888476,1.0730866551888476,1.0248759444509794,0.7887660179396212,0.1943141011664158,0.7345421459227256,0.4659827577198446,0.8220823186951659,0.3134116444288057,0.9946139277882059,1.0379255182601839
