,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
mean,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.013888888888888888,0.007692307692307693,0.5193340366632805,0.3849356994938292,0.192676531324348
standard_deviation,0.0,0.0,0.0,0.0,0.0,0.2773500981126146,0.2773500981126146,0.3755338080994054,0.0367465459870082,0.018776690404970268,0.14368097640117852,0.27564787762905996,0.08840533447053141
ci_lower_bound,,,,,,-0.0906779099744022,-0.0906779099744022,-0.0730866551888476,-0.008316826610787947,-0.0036543327594423802,0.4325084915954972,0.21836335413966412,0.13925372237244127
ci_upper_bound,,,,,,0.24452406382055605,0.24452406382055605,0.3807789628811553,0.036094604388565724,0.019038948144057766,0.6061595817310638,0.5515080448479943,0.24609934027625474
