,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,Context Relevance (Contextrelevance-Langfuse),mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,Answer Correctness - RAGAS,chrf_score,Groundedness (Faithfulness-RAGAS),Answer Relevance (Relevance-Langfuse)
mean,0.5384615384615384,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.0,0.6289377289377289,0.13846153846153847,0.5739954645346452,0.4730626874311135,0.5153956043956044,0.29222246874463376,0.8715384615384616,0.9307692307692308
standard_deviation,0.5188745216627708,0.5063696835418333,0.48038446141526137,0.48038446141526137,0.4385290096535146,0.37553380809940534,0.37553380809940534,0.37553380809940534,0.0,0.43581385599424693,0.09607689228305227,0.18324145240565792,0.3144968076021084,0.4980608934502996,0.09917943271164013,0.32072434046093623,0.22130151145972538
ci_lower_bound,0.22490880313376077,0.30938847810502507,0.4020142676025728,0.4020142676025728,0.5042303408867336,0.6192210371188447,0.6192210371188447,0.6192210371188447,,0.365578051528949,0.08040285352051457,0.4632637630760587,0.2830141686495634,0.21442041871740708,0.2322889373865391,0.6777266823139596,0.7970380658085692
ci_upper_bound,0.8520142737893162,0.9213807526642057,0.9826011170128117,0.9826011170128117,1.034231197574805,1.0730866551888476,1.0730866551888476,1.0730866551888476,,0.8922974063465088,0.19652022340256237,0.6847271659932317,0.6631112062126636,0.8163707900738018,0.3521560001027284,1.0653502407629636,1.0645003957298924
