,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,Context Relevance (Contextrelevance-Langfuse),mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,Answer Correctness - RAGAS,chrf_score,Groundedness (Faithfulness-RAGAS),Answer Relevance (Relevance-Langfuse)
mean,0.5384615384615384,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.0,0.6417582417582417,0.1423076923076923,0.459864099689578,0.39023684508081263,0.33076923076923076,0.22953958845974698,0.7884615384615384,0.6230769230769232
standard_deviation,0.5188745216627709,0.48038446141526137,0.48038446141526137,0.48038446141526137,0.4385290096535146,0.37553380809940534,0.37553380809940534,0.37553380809940534,0.0,0.4287881015164637,0.09540735874430285,0.19533961175652403,0.2264870003500988,0.4520962570526609,0.19155717153423948,0.4062808173715596,0.4023966661430944
ci_lower_bound,0.22490880313376072,0.4020142676025728,0.4020142676025728,0.4020142676025728,0.5042303408867336,0.6192210371188447,0.6192210371188447,0.6192210371188447,,0.3826441852891657,0.08465360243484754,0.3418215537039965,0.25337212054513464,0.05757019687555537,0.1137827482245857,0.5429484976789116,0.3799110513906113
ci_upper_bound,0.8520142737893162,0.9826011170128117,0.9826011170128117,0.9826011170128117,1.034231197574805,1.0730866551888476,1.0730866551888476,1.0730866551888476,,0.9008722982273176,0.19996178218053706,0.5779066456751595,0.5271015696164907,0.6039682646629061,0.3452964286949083,1.0339745792441652,0.8662427947632351
