,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,Context Relevance (Contextrelevance-Langfuse),mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,Answer Correctness - RAGAS,chrf_score,Groundedness (Faithfulness-RAGAS),Answer Relevance (Relevance-Langfuse)
mean,0.5384615384615384,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.0,0.6289377289377289,0.13846153846153847,0.6051822847437537,0.3679460159427067,0.51,0.2483611719053034,0.8435923076923078,0.9230769230769231
standard_deviation,0.5188745216627708,0.5063696835418333,0.48038446141526137,0.48038446141526137,0.4385290096535146,0.37553380809940534,0.37553380809940534,0.37553380809940534,0.0,0.43581385599424693,0.09607689228305229,0.2142218122670762,0.2707941637086367,0.4938454549080444,0.09478467333810973,0.343555566736878,0.22043081361221623
ci_lower_bound,0.22490880313376077,0.30938847810502507,0.4020142676025728,0.4020142676025728,0.5042303408867336,0.6192210371188447,0.6192210371188447,0.6192210371188447,,0.365578051528949,0.08040285352051457,0.47572933918773597,0.20430674055576645,0.21157217833824077,0.1910833670574679,0.6359837565107476,0.7898719155595979
ci_upper_bound,0.8520142737893162,0.9213807526642057,0.9826011170128117,0.9826011170128117,1.034231197574805,1.0730866551888476,1.0730866551888476,1.0730866551888476,,0.8922974063465088,0.19652022340256237,0.7346352302997714,0.5315852913296469,0.8084278216617593,0.3056389767531389,1.051200858873868,1.0562819305942484
