,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,Context Relevance (Contextrelevance-Langfuse),mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,Answer Correctness - RAGAS,chrf_score,Groundedness (Faithfulness-RAGAS),Answer Relevance (Relevance-Langfuse)
mean,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7384615384615384,0.6456043956043955,0.14615384615384616,0.6742065017377522,0.44040256361725777,0.6674359743589743,0.28580383978787505,0.9512820512820513,0.8961538461538462
standard_deviation,0.5063696835418333,0.5063696835418333,0.5063696835418333,0.48038446141526137,0.48038446141526137,0.4385290096535146,0.4385290096535146,0.4385290096535146,0.41940128266069465,0.4712079070641205,0.11266014242982163,0.14269704420261417,0.31981013839922556,0.40431261689386355,0.1050194354184109,0.09776709343334576,0.1983909634004895
ci_lower_bound,0.30938847810502507,0.30938847810502507,0.30938847810502507,0.4020142676025728,0.4020142676025728,0.5042303408867336,0.5042303408867336,0.5042303408867336,0.4850198798562481,0.3608563071945784,0.07807400344334572,0.5879755409468155,0.2471432311696241,0.4231123052214948,0.22234123011396417,0.8922019880081111,0.7762673868241554
ci_upper_bound,0.9213807526642057,0.9213807526642057,0.9213807526642057,0.9826011170128117,0.9826011170128117,1.034231197574805,1.034231197574805,1.034231197574805,0.9919031970668286,0.9303524840142127,0.2142336888643466,0.7604374625286889,0.6336618960648914,0.9117596434964538,0.3492664494617859,1.0103621145559916,1.016040305483537
