,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
mean,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.08653846153846154,0.015384615384615385,0.5242853642798863,0.4090261351060844,0.2234587929500501
standard_deviation,0.2773500981126146,0.2773500981126146,0.2773500981126146,0.2773500981126146,0.2773500981126146,0.3755338080994054,0.3755338080994054,0.3755338080994054,0.27662688932465673,0.042742520713255516,0.17827581421711092,0.28021411453274986,0.10136520198455252
ci_lower_bound,-0.0906779099744022,-0.0906779099744022,-0.0906779099744022,-0.0906779099744022,-0.0906779099744022,-0.0730866551888476,-0.0730866551888476,-0.0730866551888476,-0.08062549466236557,-0.010444431378940619,0.4165543679468424,0.23969444040726762,0.16220441443969827
ci_upper_bound,0.24452406382055605,0.24452406382055605,0.24452406382055605,0.24452406382055605,0.24452406382055605,0.3807789628811553,0.3807789628811553,0.3807789628811553,0.25370241773928864,0.04121366214817139,0.6320163606129301,0.5783578298049011,0.284713171460402
