,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,Context Relevance (Contextrelevance-Langfuse),mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,Answer Correctness - RAGAS,chrf_score,Groundedness (Faithfulness-RAGAS),Answer Relevance (Relevance-Langfuse)
mean,0.5384615384615384,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.0,0.6417582417582417,0.1423076923076923,0.6120079915171792,0.41183521516549493,0.4104965467968563,0.2714632067924499,0.7692307692307693,0.8961538461538462
standard_deviation,0.5188745216627708,0.48038446141526137,0.48038446141526137,0.48038446141526137,0.4385290096535146,0.37553380809940534,0.37553380809940534,0.37553380809940534,0.0,0.4287881015164636,0.09540735874430285,0.20143285598490687,0.2850080071947895,0.4613168557326841,0.11850173456566916,0.4385290096535146,0.2145358735168574
ci_lower_bound,0.22490880313376077,0.4020142676025728,0.4020142676025728,0.4020142676025728,0.5042303408867336,0.6192210371188447,0.6192210371188447,0.6192210371188447,,0.3826441852891657,0.08465360243484754,0.4902833348958565,0.2396066001241002,0.13172556088631165,0.19985332528375488,0.5042303408867336,0.7665111152840038
ci_upper_bound,0.8520142737893162,0.9826011170128117,0.9826011170128117,0.9826011170128117,1.034231197574805,1.0730866551888476,1.0730866551888476,1.0730866551888476,,0.9008722982273176,0.19996178218053706,0.7337326481385019,0.5840638302068897,0.6892675327074009,0.3430730883011449,1.034231197574805,1.0257965770236885
