,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
mean,0.5384615384615384,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8461538461538461,0.6352941176470588,0.13461538461538464,0.5185197151555784,0.480749218978931,0.2552386913208312
standard_deviation,0.5188745216627708,0.48038446141526137,0.48038446141526137,0.48038446141526137,0.4385290096535146,0.4385290096535146,0.4385290096535146,0.37553380809940534,0.4374812568072718,0.09657599638069016,0.17962929839007696,0.34441821346882523,0.10518646686642048
ci_lower_bound,0.22490880313376077,0.4020142676025728,0.4020142676025728,0.4020142676025728,0.5042303408867336,0.5042303408867336,0.5042303408867336,0.6192210371188447,0.3709268400112793,0.0762550940867012,0.4099708165225789,0.27261937559447585,0.19167514555308146
ci_upper_bound,0.8520142737893162,0.9826011170128117,0.9826011170128117,0.9826011170128117,1.034231197574805,1.034231197574805,1.034231197574805,1.0730866551888476,0.8996613952828383,0.19297567514406808,0.6270686137885778,0.6888790623633863,0.31880223708858096
