,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,Context Relevance (Contextrelevance-Langfuse),mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,Answer Correctness - RAGAS,chrf_score,Groundedness (Faithfulness-RAGAS),Answer Relevance (Relevance-Langfuse)
mean,0.5384615384615384,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.0,0.6417582417582417,0.1423076923076923,0.5017646080378435,0.3453330003306414,0.5038461538461538,0.17953944246043185,0.5824175824175823,0.6038461538461539
standard_deviation,0.5188745216627708,0.48038446141526137,0.48038446141526137,0.48038446141526137,0.4385290096535146,0.3755338080994054,0.3755338080994054,0.3755338080994054,0.0,0.4287881015164637,0.09540735874430285,0.17463708041503664,0.2843176345210821,0.48769079106777036,0.12701701969580015,0.4930177049074117,0.4033513452218893
ci_lower_bound,0.22490880313376077,0.4020142676025728,0.4020142676025728,0.4020142676025728,0.5042303408867336,0.6192210371188447,0.6192210371188447,0.6192210371188447,,0.3826441852891657,0.08465360243484754,0.39623247653461213,0.17352157332064744,0.20913755832014064,0.10278382564738553,0.2844899650750374,0.3601033753663516
ci_upper_bound,0.8520142737893162,0.9826011170128117,0.9826011170128117,0.9826011170128117,1.034231197574805,1.0730866551888476,1.0730866551888476,1.0730866551888476,,0.9008722982273176,0.19996178218053706,0.6072967395410749,0.5171444273406354,0.798554749372167,0.2562950592734782,0.8803451997601273,0.8475889323259562
