,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,Context Relevance (Contextrelevance-Langfuse),mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,Answer Correctness - RAGAS,chrf_score,Groundedness (Faithfulness-RAGAS),Answer Relevance (Relevance-Langfuse)
mean,0.5384615384615384,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.0,0.6417582417582417,0.1423076923076923,0.4909380554919809,0.3318238698459905,0.28641927581609017,0.18681003359846018,0.5164615384615385,0.6384615384615385
standard_deviation,0.5188745216627708,0.48038446141526137,0.48038446141526137,0.48038446141526137,0.4385290096535146,0.3755338080994054,0.3755338080994054,0.3755338080994054,0.0,0.4287881015164637,0.09540735874430285,0.17425764431375415,0.2562620014296078,0.445259727531002,0.1111729837491147,0.5035104459996528,0.43500663124919053
ci_lower_bound,0.22490880313376077,0.4020142676025728,0.4020142676025728,0.4020142676025728,0.5042303408867336,0.6192210371188447,0.6192210371188447,0.6192210371188447,,0.3826441852891657,0.08465360243484754,0.3856352149299543,0.17696629223487223,0.01735151536555074,0.11962887188449008,0.21219322113624006,0.3755896620841633
ci_upper_bound,0.8520142737893162,0.9826011170128117,0.9826011170128117,0.9826011170128117,1.034231197574805,1.0730866551888476,1.0730866551888476,1.0730866551888476,,0.9008722982273176,0.19996178218053706,0.5962408960540075,0.48668144745710873,0.5554870362666295,0.2539911953124303,0.820729855786837,0.9013334148389138
