,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,Context Relevance (Contextrelevance-Langfuse),mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,Answer Correctness - RAGAS,chrf_score,Groundedness (Faithfulness-RAGAS),Answer Relevance (Relevance-Langfuse)
mean,0.38461538461538464,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.7846153846153847,0.5263736263736264,0.13076923076923078,0.6212260924598036,0.29884945904003685,0.5730887942140266,0.2518935981246297,0.8397461538461539,0.9153846153846155
standard_deviation,0.5063696835418333,0.5188745216627709,0.5063696835418333,0.5063696835418333,0.48038446141526137,0.37553380809940534,0.37553380809940534,0.37553380809940534,0.37825510317366917,0.41807072000558,0.10515556241917166,0.19818461254057557,0.2672251063724162,0.4745963254105367,0.09078351034099619,0.3733945692681863,0.20754980866510833
ci_lower_bound,0.07861924733579428,0.22490880313376072,0.30938847810502507,0.30938847810502507,0.4020142676025728,0.6192210371188447,0.6192210371188447,0.6192210371188447,0.556038113425188,0.27373601873368175,0.06722436037204577,0.5014643297067648,0.13736694341599148,0.28629310509036265,0.1970336718772251,0.6141060738989069,0.7899635212535043
ci_upper_bound,0.690611521894975,0.8520142737893162,0.9213807526642057,0.9213807526642057,0.9826011170128117,1.0730866551888476,1.0730866551888476,1.0730866551888476,1.0131926558055813,0.7790112340135711,0.1943141011664158,0.7409878552128425,0.4603319746640822,0.8598844833376905,0.3067535243720343,1.0653862337934008,1.0408057095157266
