,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
mean,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.09743589743589744,0.01153846153846154,0.4848500651707067,0.3445966681512414,0.20659274796626034
standard_deviation,0.2773500981126146,0.2773500981126146,0.2773500981126146,0.2773500981126146,0.37553380809940534,0.37553380809940534,0.4385290096535146,0.4385290096535146,0.27704175994267866,0.021926450482675733,0.1379955314696773,0.21895240970237545,0.07663298489989726
ci_lower_bound,-0.0906779099744022,-0.0906779099744022,-0.0906779099744022,-0.0906779099744022,-0.07308665518884758,-0.07308665518884758,-0.03423119757480492,-0.03423119757480492,-0.06997876257029485,-0.0017115598787402486,0.4014602000898978,0.21228505117536028,0.1602838986616268
ci_upper_bound,0.24452406382055605,0.24452406382055605,0.24452406382055605,0.24452406382055605,0.3807789628811553,0.3807789628811553,0.4957696591132665,0.4957696591132665,0.26485055744208974,0.02478848295566333,0.5682399302515156,0.4769082851271225,0.2529015972708939
