,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.564192140709496,0.44469235908619875,0.22890312503905028
standard_deviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13227721736145853,0.25035591337924124,0.08847497726902885
ci_lower_bound,,,,,,,,,,,0.4842578182603615,0.29340379476435263,0.1754382313652058
ci_upper_bound,,,,,,,,,,,0.6441264631586304,0.5959809234080449,0.28236801871289474
