,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
mean,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.014685314685314687,0.007692307692307693,0.5617185064452439,0.43485722680966543,0.21355881846460217
standard_deviation,0.0,0.0,0.0,0.0,0.0,0.2773500981126146,0.37553380809940534,0.37553380809940534,0.03589440849402361,0.018776690404970268,0.10990487802786605,0.2690821156746166,0.08223027923807485
ci_lower_bound,,,,,,-0.0906779099744022,-0.07308665518884758,-0.07308665518884758,-0.007005459281013303,-0.0036543327594423802,0.4953036533492189,0.27225253169534924,0.1638675580434118
ci_upper_bound,,,,,,0.24452406382055605,0.3807789628811553,0.3807789628811553,0.03637608865164268,0.019038948144057766,0.6281333595412689,0.5974619219239816,0.26325007888579255
