,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,Context Relevance (Contextrelevance-Langfuse),mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,Answer Correctness - RAGAS,chrf_score,Groundedness (Faithfulness-RAGAS),Answer Relevance (Relevance-Langfuse)
mean,0.5384615384615384,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8846153846153846,0.628937728937729,0.13846153846153847,0.5772251038216104,0.38820565133051504,0.5213342829924027,0.2542600115700361,0.591076923076923,0.9230769230769231
standard_deviation,0.5188745216627708,0.5063696835418333,0.48038446141526137,0.48038446141526137,0.4385290096535146,0.3755338080994054,0.3755338080994054,0.3755338080994054,0.29957234475763905,0.435813855994247,0.09607689228305229,0.2162870603883312,0.3465787365996845,0.4916905162875915,0.13355323058613477,0.438450008845262,0.2773500981126146
ci_lower_bound,0.22490880313376077,0.30938847810502507,0.4020142676025728,0.4020142676025728,0.5042303408867336,0.6192210371188447,0.6192210371188447,0.6192210371188447,0.7035856284687487,0.36557805152894907,0.08040285352051457,0.4465241413163794,0.17877021688475866,0.22420867770608083,0.17355460204645923,0.3261242344435236,0.755475936179444
ci_upper_bound,0.8520142737893162,0.9213807526642057,0.9826011170128117,0.9826011170128117,1.034231197574805,1.0730866551888476,1.0730866551888476,1.0730866551888476,1.0656451407620204,0.892297406346509,0.19652022340256237,0.7079260663268414,0.5976410857762714,0.8184598882787246,0.33496542109361294,0.8560296117103225,1.0906779099744022
